"tot","halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA,NA
369.666666666667,0.0117222723174031,0.0126239855725879,0.00901713255184851
364.666666666667,0.0173674588665448,0.0274223034734918,0.00548446069469835
309.5,0.0290791599353796,0.0463112547119009,0.00969305331179321
260,0.017948717948718,0.0435897435897436,0.0166666666666667
170.666666666667,0.033203125,0.0234375,0.0234375
77.5,0.0344086021505376,0.0387096774193548,0.032258064516129
17.9,0.031657355679702,0.0242085661080075,0.0148975791433892
NA,NA,NA,NA
NA,NA,NA,NA
