"halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA
0.00594059405940594,0.0108910891089109,0.00396039603960396
0.00764087870105062,0.0105062082139446,0.00716332378223496
0.0138476755687438,0.0217606330365974,0.00890207715133531
0.0250391236306729,0.0239958268127282,0.00834637454355764
0.0143329658213892,0.0154355016538037,0.0132304299889746
0.0188457008244994,0.0235571260306243,0.00824499411071849
0.0158387329013679,0.0244780417566595,0.0129589632829374
0.0186625194401244,0.0388802488335925,0.0186625194401244
0.0258620689655172,0.021551724137931,0.0150862068965517
