"tot","halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA,NA
295,0.0135593220338983,0.0180790960451977,0.0101694915254237
298.666666666667,0.0078125,0.0223214285714286,0.00446428571428571
298.5,0.0212171970965941,0.0256839754327192,0.0033500837520938
274.333333333333,0.0157958687727825,0.0243013365735115,0.00850546780072904
210.333333333333,0.0253565768621236,0.0269413629160063,0.0110935023771791
NA,NA,NA,NA
67.8666666666667,0.0221021611001965,0.0579567779960707,0.012278978388998
45.9,0.0203340595497458,0.0798838053740014,0.0196078431372549
21.0666666666667,0.0268987341772152,0.0617088607594937,0.0221518987341772
