"tot","halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA,NA
NA,NA,NA,NA
264,0.0138888888888889,0.0138888888888889,0.00378787878787879
242,0.034435261707989,0.0275482093663912,0.00826446280991736
245,0.0326530612244898,0.0204081632653061,0.00952380952380952
234.333333333333,0.0199146514935989,0.0284495021337127,0.0184921763869132
243,0.0288065843621399,0.0205761316872428,0.00823045267489712
132,0.0363636363636364,0.0292929292929293,0.00606060606060606
106.8,0.048689138576779,0.0162297128589263,0.0112359550561798
38.3666666666667,0.0321459600347524,0.0260642919200695,0.00695047784535187
