"tot","halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA,NA
NA,NA,NA,NA
175.5,0.0208926875593542,0.0208926875593542,0.00854700854700855
177.5,0.0225352112676056,0.0450704225352113,0.00563380281690141
181,0.0276243093922652,0.0303867403314917,0.0110497237569061
132.666666666667,0.0351758793969849,0.0251256281407035,0.00753768844221106
114.85,0.022202873313017,0.0296038310840226,0.00696560731388768
88.4333333333333,0.0282698831511496,0.0312853373539389,0.00565397663022993
45.3,0.0253863134657837,0.0353200883002208,0.0121412803532009
NA,NA,NA,NA
