"tot","halfBlack","quarterBlack","ThreeQBlack"
4280,0.0058411214953271,0.00545171339563863,0.00233644859813084
3965,0.0151324085750315,0.0369903320722993,0.00504413619167718
3950,0.0143459915611814,0.0379746835443038,0.00675105485232068
4036.66666666667,0.0222956234516928,0.0635838150289017,0.0132122213047069
3503.33333333333,0.021883920076118,0.0542340627973359,0.0114176974310181
2500,0.028,0.0586666666666667,0.012
1666.66666666667,0.024,0.08,0.028
342.333333333333,0.0350535540408958,0.0418695228821811,0.0253164556962025
214.666666666667,0.0217391304347826,0.0496894409937888,0.0279503105590062
NA,NA,NA,NA
