"halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA
NA,NA,NA
0.0045662100456621,0.0144596651445967,0.00342465753424658
0.00984682713347921,0.0182348650619985,0.00218818380743982
0.0145772594752187,0.0291545189504373,0.00583090379008746
0.0243161094224924,0.033434650455927,0.0197568389057751
0.0293724966622163,0.0493991989319092,0.00934579439252337
0.0296296296296296,0.057037037037037,0.0133333333333333
0.0356394129979036,0.0356394129979036,0.0167714884696017
0.0214067278287462,0.0326197757390418,0.018348623853211
