"tot","halfBlack","quarterBlack","ThreeQBlack"
398,0.0050251256281407,0.00376884422110553,0.00251256281407035
352,0.0123106060606061,0.0198863636363636,0.00284090909090909
379.333333333333,0.0140597539543058,0.0219683655536028,0.00351493848857645
312.333333333333,0.0181430096051227,0.0373532550693703,0.0064034151547492
227,0.0249632892804699,0.0381791483113069,0.00734214390602056
180.5,0.0295475530932595,0.0406278855032318,0.0193905817174515
90,0.0111111111111111,0.0407407407407407,0.0166666666666667
24.8666666666667,0.017426273458445,0.017426273458445,0.00938337801608579
8.4,0.0436507936507937,0.0357142857142857,0.0238095238095238
NA,NA,NA,NA
