"halfBlack","quarterBlack","ThreeQBlack"
NA,NA,NA
0.0144373673036093,0.0118895966029724,0.00424628450106157
0.0205614867536576,0.0316330565440886,0.00593119810201661
0.0172101449275362,0.026268115942029,0.00679347826086957
0.0264477884176927,0.0155038759689922,0.0164158686730506
0.0171919770773639,0.0286532951289398,0.00859598853868195
0.0227920227920228,0.0227920227920228,0.00854700854700855
0.0194638266617701,0.0172603745868527,0.00550863018729343
0.0290620871862616,0.0228974020255394,0.0255394099515632
0.0345368916797488,0.0533751962323391,0.032967032967033
