strains,CvMean,CvSTD,CbMean,CbSTD,bminH2O2,bmaxH2O2,Cv.vs.Cb,Cv.vs.Cb.STD,Cb.vs.Cv,Cb.vs.Cv.STD,Cb0.5Mean,Cb.05STD,b0.5minH2O2,b0.5maxH2O2
101S,0.039893139,0.004108863,0.031854679,0.002622912,0.004442317,0.034753826,1.453063747,0.037399745,0.688201053,0.148780524,0.031854679,0.002622912,0.006716974,0.022276481
BY4743,0.041775471,0.010781548,0.018443047,0.011940272,0.017741237,0.048192688,0.670845497,0.017238985,1.490656202,0.177802954,0.004552002,0.007704633,0.010550261,0.025469725
ctt1,0.006628213,0.000748128,0.011078838,0.00317756,0.008756528,0.107027852,1.019497095,0.004189978,0.980875772,0.672340829,0.013835833,0.00072142,0.007785209,0.062944222
M1-2,0.046644691,0.011435968,0.02969145,0.012885229,0.002869005,0.041893669,2.160980611,0.681883558,0.462752879,0.147034024,0.033452429,0.006534624,0.004379724,0.037366293
M13,0.020644793,0.013086428,0.021839001,0.016476222,0.007925024,0.070396531,2.184360612,1.614283422,0.457799868,0.649275513,0.050753471,0.062910636,0.012536489,0.044054996
M2-8,0.041503218,0.016683056,0.078333333,0.045368859,0.01074079,0.024844977,0.889700323,0.984492903,1.123973966,1.721465701,0.046194271,0.03375957,0.008059835,0.036240127
M32,0.150639257,0.056445446,0.156231989,0.060986255,0.007154101,0.036220496,3.703991012,3.459753703,0.269979057,0.06283818,0.137685313,0.048786084,0.012000419,0.03632606
M34,0.094757063,0.030383502,0.061636342,0.016456272,0.005449057,0.038319048,1.991787765,1.292942359,0.502061523,0.402952444,0.038200785,0.016686611,0.006922098,0.04739444
M5,0.063792431,0.019784772,0.060901242,0.015696014,0.003471447,0.058221644,0.789167816,0.411738345,1.267157606,0.052566637,0.039966332,0.01391042,0.002336581,0.038448335
M8,0.061459014,0.020466148,0.050264568,0.009605881,0.003712209,0.0414648,2.163680048,1.719221783,0.462175542,0.215932132,0.041705567,0.017855972,0.008454455,0.035234162
SGU57,0.01842487,0.00983678,0.044250154,0.021862024,0.005849505,0.043850077,2.3750142,0.577970152,0.421050114,1.923873198,0.043142583,0.004550639,0.003559978,0.015941012
sod2,0.000168425,9.95E-05,0.000395419,0.000276363,0.090662414,0.169425374,0.7603725,0.612881267,1.31514488,3.666421788,0.002172803,0.002789965,0.003402291,0.032284512
YPS128,0.008290248,0.003181745,0.015498709,0.008741458,0.09032819,0.156698467,0.452872565,0.131589477,2.208126695,0.842452626,0.045985751,0.063577175,0.008263964,0.037616282
YPS163,0.013885595,0.001173186,0.022246222,0.018532315,0.0053579,0.096133606,0.573886431,0.403463464,1.742505042,1.243401648,0.013161134,0.007006799,0.011089895,0.047177584
