Strain,OD600,Dilution,Date,H2O2 Treatment (%),White,Black,halfBlack,quarterBlack,3quarterBlack,quarter.quarterBlack,Other,Notes
101S*,0.986,50000,1/25/11,0,287,1,0,2,0,0,0,
101S*,0.986,50000,1/25/11,0,289,2,0,3,0,0,0,
101S*,0.986,50000,1/25/11,0,280,2,1,0,1,0,0,
101S*,0.986,50000,1/25/11,0.005,279,1,1,9,2,1,0,
101S*,0.986,50000,1/25/11,0.005,261,2,0,7,2,0,0,
101S*,0.986,50000,1/25/11,0.005,303,1,3,8,1,0,0,
101S*,0.986,50000,1/25/11,0.01,280,1,0,9,1,1,0,
101S*,0.986,50000,1/25/11,0.01,275,2,2,10,1,0,0,
101S*,0.986,50000,1/25/11,0.01,275,1,4,8,0,1,0,
101S*,0.986,50000,1/25/11,0.025,278,4,4,12,4,1,0,
101S*,0.986,50000,1/25/11,0.025,280,2,6,10,4,1,0,
101S*,0.986,50000,1/25/11,0.025,296,3,1,11,5,1,0,
101S*,0.986,50000,1/25/11,0.05,206,4,3,8,3,0,0,
101S*,0.986,50000,1/25/11,0.05,210,0,3,9,1,0,0,
101S*,0.986,50000,1/25/11,0.05,216,3,2,10,4,0,0,
101S*,0.986,50000,1/25/11,0.075,208,1,3,14,5,0,0
101S*,0.986,50000,1/25/11,0.075,181,2,4,9,2,1,2
101S*,0.986,50000,1/25/11,0.075,218,3,4,9,3,0,0
101S*,0.986,50000,1/25/11,0.1,81,1,0,5,2,1,0
101S*,0.986,50000,1/25/11,0.1,87,3,1,8,3,0,0
101S*,0.986,50000,1/25/11,0.1,93,1,1,11,3,0,0
101S*,0.986,5000,1/25/11,0.15,328,6,7,24,6,0,0
101S*,0.986,5000,1/25/11,0.15,391,8,11,28,4,1,0
101S*,0.986,5000,1/25/11,0.15,364,7,7,25,8,0,0
101S*,0.986,5000,1/25/11,0.2,73,2,2,5,1,0,0
101S*,0.986,5000,1/25/11,0.2,67,4,0,5,1,1,0
101S*,0.986,5000,1/25/11,0.2,62,1,0,6,1,0,0
101S*,0.986,5000,1/25/11,0.3,41,0,0,2,2,0,0
101S*,0.986,5000,1/25/11,0.3,42,2,0,1,1,0,0
101S*,0.986,5000,1/25/11,0.3,39,1,0,3,1,0,1
