Strain,OD600nm,Dilution,Date,H2O2 Treatment (%),White,Black,halfBlack,quarterBlack,3quarterBlack,quarter.quarterBlack,Other,Notes
101S*,0.964,50000,1/27/11,0,346,0,0,1,0,0,0,
101S*,0.964,50000,1/27/11,0,309,2,0,1,0,0,0,
101S*,0.964,50000,1/27/11,0,362,0,0,1,1,0,0,
101S*,0.964,50000,1/27/11,0.005,322,0,2,4,2,1,,
101S*,0.964,50000,1/27/11,0.005,260,3,4,5,0,0,0,
101S*,0.964,50000,1/27/11,0.005,271,3,6,7,4,0,4,
101S*,0.964,50000,1/27/11,0.01,272,2,1,6,1,0,0,
101S*,0.964,50000,1/27/11,0.01,312,5,3,6,1,0,0,
101S*,0.964,50000,1/27/11,0.01,272,2,3,8,2,0,0,
101S*,0.964,50000,1/27/11,0.025,274,3,9,7,1,0,2,
101S*,0.964,50000,1/27/11,0.025,283,2,6,6,1,0,3,
101S*,0.964,50000,1/27/11,0.025,263,4,4,10,0,0,7,
101S*,0.964,50000,1/27/11,0.05,274,16,5,6,2,0,3,
101S*,0.964,50000,1/27/11,0.05,236,6,3,9,2,1,0,
101S*,0.964,50000,1/27/11,0.05,241,6,5,5,3,0,0,
101S*,0.964,50000,1/27/11,0.075,185,3,2,5,4,1,0
101S*,0.964,50000,1/27/11,0.075,195,2,9,2,2,0,2
101S*,0.964,50000,1/27/11,0.075,200,3,5,10,1,0,0
101S*,0.964,50000,1/27/11,0.1,3,0,0,0,0,0,0
101S*,0.964,50000,1/27/11,0.1,6,0,0,0,0,0,0
101S*,0.964,50000,1/27/11,0.1,9,1,0,0,0,0,0
101S*,0.964,5000,1/27/11,0.15,592,19,11,32,9,0,0
101S*,0.964,5000,1/27/11,0.15,534,11,14,34,9,0,2
101S*,0.964,5000,1/27/11,0.15,677,13,20,52,7,0,0
101S*,0.964,5000,1/27/11,0.2,364,20,5,34,8,1,0
101S*,0.964,5000,1/27/11,0.2,385,16,10,38,10,0,0
101S*,0.964,5000,1/27/11,0.2,419,7,13,38,9,0,0
101S*,0.964,5000,1/27/11,0.3,190,3,6,12,3,2,0
101S*,0.964,5000,1/27/11,0.3,190,4,6,18,4,0,0
101S*,0.964,5000,1/27/11,0.3,165,8,5,9,7,0,0
